,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Score - Final,Difference
62,62,annual_inc:>140K,0.4663203597513536,1.4397522154512888e-22,annual_inc,37.55689481387074,38.0,38.0,0.44310518612925875
63,63,dti:<=1.4,-0.2058068303830969,0.012179356061680077,dti,-16.575440722329883,-17.0,-17.0,-0.4245592776701166
64,64,dti:1.4-3.5,-0.038423351309865475,0.5750911521288363,dti,-3.0945716466475415,-3.0,-3.0,0.09457164664754147
65,65,dti:3.5-7.7,-0.0009148018739462775,0.9875639745938374,dti,-0.0736770699303194,-0.0,-0.0,0.0736770699303194
66,66,dti:7.7-10.5,-0.06441463422915679,0.26892731992590113,dti,-5.1878790870472535,-5.0,-5.0,0.18787908704725353
67,67,dti:10.5-16.1,-0.14486068775929775,0.009922861905357197,dti,-11.666909880885006,-12.0,-12.0,-0.33309011911499375
68,68,dti:16.1-20.3,-0.24735417061395235,1.0987189965690805e-05,dti,-19.921614772457893,-20.0,-20.0,-0.07838522754210686
69,69,dti:20.3-21.7,-0.25984347605865493,1.0564859039253801e-05,dti,-20.927488783910245,-21.0,-21.0,-0.07251121608975453
70,70,dti:21.7-22.4,-0.2968965933441051,2.582042220443683e-06,dti,-23.911703389418104,-24.0,-24.0,-0.08829661058189586
71,71,dti:22.4-35,-0.2904716823742328,1.7991135390329307e-07,dti,-23.394248595866646,-23.0,-23.0,0.39424859586664596
72,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
73,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
74,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
75,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
76,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
77,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
78,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
79,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
80,8,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
81,9,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
82,10,pub_rec:0-2,0.0,,pub_rec,0.0,0.0,0.0,0.0
83,11,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
84,12,total_rev_hi_lim:<=5K,0.0,,total_rev_hi_lim,0.0,0.0,0.0,0.0
85,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
86,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
